epoch,tr_loss,vl_loss,dice,fpr,prec,rec
181,0.6623,0.9972,0.2779,0.0888,0.2862,0.4562
182,0.6623,0.9972,0.2780,0.0888,0.2862,0.4563
183,0.6623,0.9972,0.2780,0.0888,0.2862,0.4563
184,0.6623,0.9972,0.2780,0.0888,0.2862,0.4563
185,0.6622,0.9971,0.2780,0.0888,0.2862,0.4562
186,0.6622,0.9971,0.2780,0.0888,0.2862,0.4562
187,0.6622,0.9972,0.2779,0.0888,0.2861,0.4562
188,0.6622,0.9972,0.2779,0.0888,0.2861,0.4562
189,0.6622,0.9972,0.2779,0.0888,0.2861,0.4562
190,0.6622,0.9972,0.2779,0.0888,0.2861,0.4562
191,0.6622,0.9972,0.2779,0.0888,0.2861,0.4561
192,0.6622,0.9972,0.2779,0.0888,0.2861,0.4561
193,0.6622,0.9972,0.2779,0.0888,0.2861,0.4561
194,0.6622,0.9972,0.2779,0.0888,0.2861,0.4561
195,0.6622,0.9971,0.2779,0.0888,0.2861,0.4561
196,0.6622,0.9972,0.2779,0.0888,0.2861,0.4561
197,0.6622,0.9971,0.2779,0.0888,0.2861,0.4561
198,0.6622,0.9971,0.2779,0.0888,0.2861,0.4561
199,0.6622,0.9971,0.2779,0.0888,0.2861,0.4561
200,0.6622,0.9971,0.2779,0.0888,0.2861,0.4561
